id,player_name,games,time,goals_3wks,xG_3wks,assists_3wks,xA_3wks,shots_3wks,key_passes_3wks,yellow_cards,red_cards,position,team_title,npg_3wks,npxG_3wks,xGChain,xGBuildup
618,Raheem Sterling,10,729,9,6.4928959012031555,0,1.328054966405034,31,13,0,0,FWD,Manchester City,9,5.7317270040512085,7.737957417964935,2.165522690862417
531,Michail Antonio,10,840,8,8.929878445342183,1,1.8581748697906733,36,13,3,0,FWD,West Ham,7,8.16870960779488,8.764186352491379,1.3592907842248678
502,Olivier Giroud,10,661,7,5.79319491237402,0,0.5414802059531212,29,3,1,0,FWD,Chelsea,7,5.79319491237402,6.430627778172493,1.374771699309349
553,Anthony Martial,10,851,7,4.7189991772174835,3,2.0685251131653786,24,10,0,0,FWD,Manchester United,7,4.7189991772174835,7.397879511117935,1.4453710354864597
619,Sergio Agüero,10,637,7,7.075412444770336,1,0.7398173548281193,34,6,1,0,FWD,Manchester City,7,6.3142435774207115,7.372543573379517,0.7465332169085741
647,Harry Kane,10,888,7,5.564089119434357,0,1.297498844563961,28,9,2,0,FWD,Tottenham,7,5.564089119434357,7.057452630251646,0.624919380992651
986,Danny Ings,10,900,7,4.630304593592882,1,1.0314845945686102,26,14,1,0,FWD,Southampton,6,3.1079669073224068,6.144841525703669,2.6239782236516476
755,Jamie Vardy,10,840,6,5.503061391413212,1,2.9486340694129467,32,16,1,0,FWD,Leicester,5,4.74189255386591,7.439686261117458,0.2771119009703398
1228,Bruno Fernandes,10,851,6,4.581377729773521,5,2.0452276300638914,28,22,1,0,MID,Manchester United,3,2.297907993197441,7.387925252318382,4.397401213645935
318,Pierre-Emerick Aubameyang,10,834,5,4.350737638771534,2,1.2012219205498695,28,6,0,0,FWD,Arsenal,4,3.5896055176854134,4.833086274564266,0.9512820690870285
447,Kevin De Bruyne,10,731,5,3.018656637519598,4,5.972339313477278,26,41,1,0,MID,Manchester City,3,1.4963189624249935,9.413695573806763,3.9182050600647926
