id,player_name,games,time,goals_3wks,xG_3wks,assists_3wks,xA_3wks,shots_3wks,key_passes_3wks,yellow_cards,red_cards,position,team_title,npg_3wks,npxG_3wks,xGChain,xGBuildup
647,Harry Kane,3,270,5,2.0607955306768417,0,0.3910949155688286,7,2,1,0,FWD,Tottenham,5,2.0607955306768417,2.6767265051603317,0.22483597695827484
502,Olivier Giroud,3,234,3,3.1137402653694153,0,0.40248509496450424,12,2,1,0,FWD,Chelsea,3,3.1137402653694153,3.732365131378174,0.30892330408096313
618,Raheem Sterling,3,198,3,2.774513840675354,0,0.39271488785743713,11,3,0,0,FWD,Manchester City,3,2.013344943523407,2.352346047759056,0.712441697716713
986,Danny Ings,3,270,3,2.290885627269745,0,0.13838174007833004,10,3,0,0,FWD,Southampton,2,0.7685479409992695,1.814413771033287,1.169490970671177
4456,Chris Wood,3,264,3,2.1954740285873413,0,0.7095881886780262,10,4,0,0,FWD,Burnley,2,1.4343052208423615,1.5645041763782501,0.15562047436833382
7700,Che Adams,3,151,3,1.9055250883102417,0,0.41254836320877075,10,1,0,0,FWD,Southampton,3,1.9055250883102417,2.3673327565193176,0.04925932735204697
318,Pierre-Emerick Aubameyang,3,210,2,1.455847904086113,1,0.3655194416642189,6,2,0,0,FWD,Arsenal,1,0.6947157829999924,1.0931262522935867,0.03289101645350456
447,Kevin De Bruyne,3,246,2,0.4195265993475914,2,2.7748354077339172,7,21,0,0,MID,Manchester City,2,0.4195265993475914,4.295104265213013,2.3183056712150574
531,Michail Antonio,3,219,2,1.9048762023448944,0,0.08414974063634872,7,2,1,0,FWD,West Ham,1,1.1437073647975922,1.0577586144208908,0
574,Troy Deeney,3,229,2,1.6963218748569489,0,0.45213213562965393,5,2,0,0,FWD,Watford,1,0.9351529777050018,1.764219969511032,1.2901687920093536
838,Sadio Mané,3,202,2,0.8520665466785431,0,0.37091222405433655,7,4,0,0,FWD,Liverpool,2,0.8520665466785431,1.9011365622282028,0.8634442538022995
5073,Florian Lejeune,3,187,2,0.31868889927864075,0,0,2,0,0,0,DEF,Newcastle United,2,0.31868889927864075,0,0
5543,Gabriel Jesus,3,259,2,1.8810880482196808,0,0.42976026982069016,11,4,0,0,FWD,Manchester City,2,1.8810880482196808,3.3875851929187775,1.0767368525266647
7711,David McGoldrick,3,227,2,1.3770855739712715,0,0.45071691274642944,6,1,0,0,FWD,Sheffield United,2,1.3770855739712715,2.0011302828788757,0.2308247834444046
